les Escaldes	les Escaldes	42.50729	1.53414	AD	15853
Andorra la Vella	Andorra la Vella	42.50779	1.52109	AD	20430
Umm al Qaywayn	Umm al Qaywayn	25.56473	55.55517	AE	44411
Ras al-Khaimah	Ras al-Khaimah	25.78953	55.9432	AE	115949
Khawr Fakkān	Khawr Fakkan	25.33132	56.34199	AE	33575
Dubai	Dubai	25.0657	55.17128	AE	1137347
Dibba Al-Fujairah	Dibba Al-Fujairah	25.59246	56.26176	AE	30000
Dibba Al-Hisn	Dibba Al-Hisn	25.61955	56.27291	AE	26395
Sharjah	Sharjah	25.33737	55.41206	AE	543733
Ar Ruways	Ar Ruways	24.11028	52.73056	AE	16000
Al Fujayrah	Al Fujayrah	25.11641	56.34141	AE	62415
Al Ain	Al Ain	24.19167	55.76056	AE	408733
Ajman	Ajman	25.41111	55.43504	AE	226172
Adh Dhayd	Adh Dhayd	25.28812	55.88157	AE	24716
Abu Dhabi	Abu Dhabi	24.46667	54.36667	AE	603492
Zaranj	Zaranj	30.95962	61.86037	AF	49851
Taloqan	Taloqan	36.73605	69.53451	AF	64256
Shīnḏanḏ	Shindand	33.30294	62.1474	AF	29264
Shibirghān	Shibirghan	36.66757	65.7529	AF	55641
Shahrak	Shahrak	34.10737	64.3052	AF	15967
Sar-e Pul	Sar-e Pul	36.21544	65.93249	AF	52121
Sang-e Chārak	Sang-e Charak	35.84972	66.43694	AF	15377
Aībak	Aibak	36.26468	68.01551	AF	47823
Rustāq	Rustaq	37.12604	69.83045	AF	25636
Qarqīn	Qarqin	37.41853	66.04358	AF	15018
Qarāwul	Qarawul	37.21959	68.7802	AF	24544
Pul-e Khumrī	Pul-e Khumri	35.94458	68.71512	AF	56369
Paghmān	Paghman	34.58787	68.95091	AF	49157
Nahrīn	Nahrin	36.0649	69.13343	AF	22363
Maymana	Maymana	35.92139	64.78361	AF	75900
Mehtar Lām	Mehtar Lam	34.67139	70.20944	AF	17345
Mazār-e Sharīf	Mazar-e Sharif	36.70904	67.11087	AF	303282
Lashkar Gāh	Lashkar Gah	31.59382	64.37161	AF	43934
Kushk	Kushk	33.29565	61.95221	AF	16952
Kunduz	Kunduz	36.72895	68.857	AF	161902
Khōst	Khost	33.33951	69.92041	AF	96123
Khulm	Khulm	36.69736	67.69826	AF	64933
Khāsh	Khash	31.52919	62.79055	AF	15133
Khanabad	Khanabad	36.6825	69.11556	AF	71531
Karukh	Karukh	34.48108	62.5863	AF	17484
Kandahār	Kandahar	31.61332	65.71013	AF	391190
Kabul	Kabul	34.52813	69.17233	AF	3043532
Jalālābād	Jalalabad	34.42647	70.45153	AF	200331
Jabal os Saraj	Jabal os Saraj	35.11833	69.23778	AF	15032
Herāt	Herat	34.34817	62.19967	AF	272806
Ghormach	Ghormach	35.73062	63.78264	AF	30000
Ghazni	Ghazni	33.55391	68.42096	AF	141000
Gereshk	Gereshk	31.82089	64.57005	AF	43588
Gardēz	Gardez	33.59744	69.22592	AF	103601
Fayzabad	Fayzabad	37.11664	70.58002	AF	44421
Farah	Farah	32.37451	62.11638	AF	43561
Kafir Qala	Kafir Qala	34.66667	61.06667	AF	18086
